업태별,시도명,시군구명,성별,(전체)당월①,(전체)전월②,증감율(①/②),(전체)전년동월③,증감율(①/③),(개인)당월①,(개인)전월②,증감율(①/②),(개인)전년동월③,증감율(①/③),(법인)당월①,(법인)전월②,증감율(①/②),(법인)전년동월③,증감율(①/③)
숙박업,서울특별시,중구,여자,201,196,102.55%,198,101.52%,188,183,102.73%,187,100.53%,13,13,100.00%,11,118.18%
숙박업,서울특별시,중구,미상,*,*,100.00%,3,66.67%,*,*,100.00%,*,100.00%,*,*,100.00%,*,50.00%
숙박업,서울특별시,용산구,남자,116,115,100.87%,110,105.45%,106,105,100.95%,101,104.95%,10,10,100.00%,9,111.11%
숙박업,서울특별시,용산구,여자,93,93,100.00%,98,94.90%,93,93,100.00%,98,94.90%,,,,,
숙박업,서울특별시,성동구,남자,57,59,96.61%,58,98.28%,51,53,96.23%,52,98.08%,6,6,100.00%,6,100.00%
숙박업,서울특별시,성동구,여자,50,50,100.00%,52,96.15%,50,50,100.00%,52,96.15%,,,,,
숙박업,서울특별시,광진구,남자,76,75,101.33%,76,100.00%,69,68,101.47%,71,97.18%,7,7,100.00%,5,140.00%
숙박업,서울특별시,광진구,여자,60,60,100.00%,63,95.24%,59,59,100.00%,62,95.16%,*,*,100.00%,*,100.00%
숙박업,서울특별시,동대문구,남자,114,116,98.28%,115,99.13%,103,105,98.10%,106,97.17%,11,11,100.00%,9,122.22%
숙박업,서울특별시,동대문구,여자,143,144,99.31%,142,100.70%,141,142,99.30%,140,100.71%,*,*,100.00%,*,100.00%
숙박업,서울특별시,중랑구,남자,57,58,98.28%,59,96.61%,53,54,98.15%,56,94.64%,4,4,100.00%,3,133.33%
숙박업,서울특별시,중랑구,여자,74,74,100.00%,78,94.87%,73,73,100.00%,77,94.81%,*,*,100.00%,*,100.00%
숙박업,서울특별시,성북구,남자,64,65,98.46%,61,104.92%,57,58,98.28%,54,105.56%,7,7,100.00%,7,100.00%
숙박업,서울특별시,성북구,여자,76,76,100.00%,77,98.70%,75,75,100.00%,77,97.40%,*,*,100.00%,0,/0
숙박업,서울특별시,강북구,남자,87,88,98.86%,95,91.58%,81,82,98.78%,90,90.00%,6,6,100.00%,5,120.00%
숙박업,서울특별시,강북구,여자,98,98,100.00%,100,98.00%,98,98,100.00%,100,98.00%,,,,,
숙박업,서울특별시,도봉구,남자,25,25,100.00%,26,96.15%,20,20,100.00%,22,90.91%,5,5,100.00%,4,125.00%
숙박업,서울특별시,도봉구,여자,21,21,100.00%,23,91.30%,19,19,100.00%,20,95.00%,*,*,100.00%,3,66.67%
숙박업,서울특별시,노원구,남자,35,33,106.06%,33,106.06%,30,28,107.14%,28,107.14%,5,5,100.00%,5,100.00%
숙박업,서울특별시,노원구,여자,30,31,96.77%,28,107.14%,30,31,96.77%,28,107.14%,,,,,
숙박업,서울특별시,은평구,남자,66,65,101.54%,63,104.76%,65,64,101.56%,62,104.84%,*,*,100.00%,*,100.00%
숙박업,서울특별시,은평구,여자,54,55,98.18%,54,100.00%,54,55,98.18%,54,100.00%,,,,,
숙박업,서울특별시,서대문구,남자,85,84,101.19%,77,110.39%,78,78,100.00%,72,108.33%,7,6,116.67%,5,140.00%
숙박업,서울특별시,서대문구,여자,97,95,102.11%,94,103.19%,96,94,102.13%,93,103.23%,*,*,100.00%,*,100.00%
숙박업,서울특별시,마포구,남자,238,236,100.85%,216,110.19%,223,222,100.45%,201,110.95%,15,14,107.14%,15,100.00%
숙박업,서울특별시,마포구,여자,192,186,103.23%,168,114.29%,192,186,103.23%,168,114.29%,,,,,
숙박업,서울특별시,양천구,남자,17,18,94.44%,17,100.00%,16,17,94.12%,16,100.00%,*,*,100.00%,*,100.00%
숙박업,서울특별시,양천구,여자,25,26,96.15%,26,96.15%,25,26,96.15%,26,96.15%,,,,,
숙박업,서울특별시,강서구,남자,106,103,102.91%,112,94.64%,89,86,103.49%,97,91.75%,17,17,100.00%,15,113.33%
숙박업,서울특별시,강서구,여자,92,93,98.92%,90,102.22%,92,93,98.92%,90,102.22%,,,,,
숙박업,서울특별시,구로구,남자,70,67,104.48%,64,109.38%,65,62,104.84%,60,108.33%,5,5,100.00%,4,125.00%
숙박업,서울특별시,구로구,여자,108,108,100.00%,111,97.30%,106,106,100.00%,109,97.25%,*,*,100.00%,*,100.00%
숙박업,서울특별시,금천구,남자,45,45,100.00%,45,100.00%,42,42,100.00%,42,100.00%,3,3,100.00%,3,100.00%
숙박업,서울특별시,금천구,여자,65,66,98.48%,64,101.56%,65,66,98.48%,64,101.56%,,,,,
숙박업,서울특별시,영등포구,남자,128,129,99.22%,135,94.81%,102,103,99.03%,114,89.47%,26,26,100.00%,21,123.81%
숙박업,서울특별시,영등포구,여자,169,171,98.83%,170,99.41%,164,166,98.80%,165,99.39%,5,5,100.00%,5,100.00%
숙박업,서울특별시,영등포구,미상,*,*,100.00%,*,100.00%,,,,,,*,*,100.00%,*,100.00%
숙박업,서울특별시,동작구,남자,53,55,96.36%,60,88.33%,50,53,94.34%,58,86.21%,3,*,150.00%,*,150.00%
숙박업,서울특별시,동작구,여자,69,70,98.57%,73,94.52%,68,69,98.55%,72,94.44%,*,*,100.00%,*,100.00%
숙박업,서울특별시,관악구,남자,155,155,100.00%,135,114.81%,153,153,100.00%,134,114.18%,*,*,100.00%,*,200.00%
숙박업,서울특별시,관악구,여자,184,187,98.40%,178,103.37%,182,185,98.38%,176,103.41%,*,*,100.00%,*,100.00%
숙박업,서울특별시,서초구,남자,75,76,98.68%,76,98.68%,58,59,98.31%,63,92.06%,17,17,100.00%,13,130.77%
숙박업,서울특별시,서초구,여자,43,43,100.00%,48,89.58%,42,42,100.00%,47,89.36%,*,*,100.00%,*,100.00%
숙박업,서울특별시,서초구,미상,*,*,100.00%,*,100.00%,,,,,,*,*,100.00%,*,100.00%
숙박업,서울특별시,강남구,남자,187,191,97.91%,196,95.41%,129,132,97.73%,139,92.81%,58,59,98.31%,57,101.75%
숙박업,서울특별시,강남구,여자,108,108,100.00%,115,93.91%,105,105,100.00%,110,95.45%,3,3,100.00%,5,60.00%
숙박업,서울특별시,송파구,남자,109,110,99.09%,109,100.00%,93,93,100.00%,93,100.00%,16,17,94.12%,16,100.00%
숙박업,서울특별시,송파구,여자,66,65,101.54%,69,95.65%,64,63,101.59%,67,95.52%,*,*,100.00%,*,100.00%
숙박업,서울특별시,강동구,남자,83,84,98.81%,76,109.21%,80,81,98.77%,73,109.59%,3,3,100.00%,3,100.00%
숙박업,서울특별시,강동구,여자,81,80,101.25%,79,102.53%,80,79,101.27%,78,102.56%,*,*,100.00%,*,100.00%
숙박업,서울특별시,강동구,미상,*,*,100.00%,*,100.00%,,,,,,*,*,100.00%,*,100.00%
숙박업,인천광역시,중구,남자,155,155,100.00%,160,96.88%,134,134,100.00%,142,94.37%,21,21,100.00%,18,116.67%
숙박업,인천광역시,중구,여자,147,143,102.80%,126,116.67%,145,141,102.84%,125,116.00%,*,*,100.00%,*,200.00%
숙박업,인천광역시,동구,남자,15,14,107.14%,12,125.00%,14,13,107.69%,11,127.27%,*,*,100.00%,*,100.00%
숙박업,인천광역시,동구,여자,36,36,100.00%,42,85.71%,36,36,100.00%,42,85.71%,,,,,
숙박업,인천광역시,동구,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
숙박업,인천광역시,남구,남자,0,0,/0,133,0.00%,0,0,/0,130,0.00%,0,0,/0,3,0.00%
숙박업,인천광역시,남구,여자,0,0,/0,140,0.00%,0,0,/0,140,0.00%,,,,,
숙박업,인천광역시,미추홀구,남자,135,136,99.26%,0,/0,130,131,99.24%,0,/0,5,5,100.00%,0,/0
숙박업,인천광역시,미추홀구,여자,135,141,95.74%,0,/0,135,141,95.74%,0,/0,,,,,
숙박업,인천광역시,연수구,남자,54,55,98.18%,54,100.00%,43,44,97.73%,44,97.73%,11,11,100.00%,10,110.00%
숙박업,인천광역시,연수구,여자,39,39,100.00%,37,105.41%,38,38,100.00%,36,105.56%,*,*,100.00%,*,100.00%
숙박업,인천광역시,남동구,남자,72,72,100.00%,75,96.00%,64,64,100.00%,68,94.12%,8,8,100.00%,7,114.29%
숙박업,인천광역시,남동구,여자,43,44,97.73%,42,102.38%,41,42,97.62%,39,105.13%,*,*,100.00%,3,66.67%
숙박업,인천광역시,부평구,남자,118,118,100.00%,126,93.65%,117,117,100.00%,125,93.60%,*,*,100.00%,*,100.00%
숙박업,인천광역시,부평구,여자,106,106,100.00%,104,101.92%,106,106,100.00%,104,101.92%,,,,,
숙박업,인천광역시,계양구,남자,51,51,100.00%,49,104.08%,50,50,100.00%,48,104.17%,*,*,100.00%,*,100.00%
숙박업,인천광역시,계양구,여자,40,39,102.56%,45,88.89%,39,38,102.63%,44,88.64%,*,*,100.00%,*,100.00%
숙박업,인천광역시,서구,남자,62,60,103.33%,60,103.33%,59,57,103.51%,57,103.51%,3,3,100.00%,3,100.00%
숙박업,인천광역시,서구,여자,33,34,97.06%,37,89.19%,32,33,96.97%,35,91.43%,*,*,100.00%,*,50.00%
숙박업,인천광역시,강화군,남자,243,238,102.10%,224,108.48%,234,229,102.18%,215,108.84%,9,9,100.00%,9,100.00%
숙박업,인천광역시,강화군,여자,225,225,100.00%,206,109.22%,225,225,100.00%,205,109.76%,0,0,/0,*,0.00%
숙박업,인천광역시,옹진군,남자,229,231,99.13%,227,100.88%,221,223,99.10%,220,100.45%,8,8,100.00%,7,114.29%
숙박업,인천광역시,옹진군,여자,191,190,100.53%,181,105.52%,191,190,100.53%,180,106.11%,0,0,/0,*,0.00%
숙박업,경기도,수원시 장안구,남자,26,26,100.00%,27,96.30%,24,24,100.00%,25,96.00%,*,*,100.00%,*,100.00%
숙박업,경기도,수원시 장안구,여자,61,61,100.00%,61,100.00%,61,61,100.00%,61,100.00%,,,,,
숙박업,경기도,수원시 장안구,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
숙박업,경기도,수원시 권선구,남자,44,44,100.00%,48,91.67%,40,40,100.00%,45,88.89%,4,4,100.00%,3,133.33%
숙박업,경기도,수원시 권선구,여자,31,30,103.33%,26,119.23%,31,30,103.33%,26,119.23%,,,,,
숙박업,경기도,수원시 팔달구,남자,181,185,97.84%,192,94.27%,168,172,97.67%,180,93.33%,13,13,100.00%,12,108.33%
숙박업,경기도,수원시 팔달구,여자,171,168,101.79%,175,97.71%,165,162,101.85%,170,97.06%,6,6,100.00%,5,120.00%
숙박업,경기도,수원시 영통구,남자,21,21,100.00%,22,95.45%,19,19,100.00%,22,86.36%,*,*,100.00%,0,/0
숙박업,경기도,수원시 영통구,여자,10,10,100.00%,11,90.91%,10,10,100.00%,11,90.91%,,,,,
숙박업,경기도,수원시 영통구,미상,*,*,100.00%,*,100.00%,,,,,,*,*,100.00%,*,100.00%
숙박업,경기도,성남시 수정구,남자,72,73,98.63%,72,100.00%,71,72,98.61%,71,100.00%,*,*,100.00%,*,100.00%
숙박업,경기도,성남시 수정구,여자,133,133,100.00%,135,98.52%,133,133,100.00%,135,98.52%,,,,,
숙박업,경기도,성남시 중원구,남자,99,98,101.02%,108,91.67%,98,97,101.03%,107,91.59%,*,*,100.00%,*,100.00%
숙박업,경기도,성남시 중원구,여자,261,260,100.38%,256,101.95%,260,259,100.39%,256,101.56%,*,*,100.00%,0,/0
숙박업,경기도,성남시 분당구,남자,20,19,105.26%,22,90.91%,15,14,107.14%,17,88.24%,5,5,100.00%,5,100.00%
숙박업,경기도,성남시 분당구,여자,29,29,100.00%,26,111.54%,27,27,100.00%,24,112.50%,*,*,100.00%,*,100.00%
숙박업,경기도,의정부시,남자,91,89,102.25%,91,100.00%,88,86,102.33%,88,100.00%,3,3,100.00%,3,100.00%
숙박업,경기도,의정부시,여자,95,95,100.00%,97,97.94%,95,95,100.00%,97,97.94%,,,,,
숙박업,경기도,안양시 만안구,남자,69,68,101.47%,59,116.95%,63,62,101.61%,53,118.87%,6,6,100.00%,6,100.00%
숙박업,경기도,안양시 만안구,여자,84,85,98.82%,93,90.32%,84,85,98.82%,93,90.32%,,,,,
숙박업,경기도,안양시 동안구,남자,37,37,100.00%,38,97.37%,35,35,100.00%,36,97.22%,*,*,100.00%,*,100.00%
숙박업,경기도,안양시 동안구,여자,37,37,100.00%,39,94.87%,35,35,100.00%,37,94.59%,*,*,100.00%,*,100.00%
숙박업,경기도,부천시,남자,135,135,100.00%,140,96.43%,127,127,100.00%,134,94.78%,8,8,100.00%,6,133.33%
숙박업,경기도,부천시,여자,153,153,100.00%,158,96.84%,153,153,100.00%,157,97.45%,0,0,/0,*,0.00%
숙박업,경기도,광명시,남자,38,38,100.00%,39,97.44%,36,36,100.00%,37,97.30%,*,*,100.00%,*,100.00%
숙박업,경기도,광명시,여자,48,49,97.96%,54,88.89%,48,49,97.96%,54,88.89%,,,,,
숙박업,경기도,평택시,남자,109,108,100.93%,107,101.87%,94,94,100.00%,97,96.91%,15,14,107.14%,10,150.00%
숙박업,경기도,평택시,여자,116,114,101.75%,110,105.45%,113,111,101.80%,107,105.61%,3,3,100.00%,3,100.00%
숙박업,경기도,동두천시,남자,40,40,100.00%,38,105.26%,40,40,100.00%,38,105.26%,,,,,
숙박업,경기도,동두천시,여자,30,30,100.00%,31,96.77%,30,30,100.00%,31,96.77%,,,,,
숙박업,경기도,안산시 상록구,남자,50,48,104.17%,44,113.64%,48,46,104.35%,43,111.63%,*,*,100.00%,*,200.00%
숙박업,경기도,안산시 상록구,여자,28,28,100.00%,30,93.33%,27,27,100.00%,29,93.10%,*,*,100.00%,*,100.00%
숙박업,경기도,안산시 단원구,남자,212,203,104.43%,187,113.37%,208,199,104.52%,182,114.29%,4,4,100.00%,5,80.00%
숙박업,경기도,안산시 단원구,여자,181,180,100.56%,155,116.77%,176,175,100.57%,153,115.03%,5,5,100.00%,*,250.00%
숙박업,경기도,고양시 덕양구,남자,48,48,100.00%,47,102.13%,47,47,100.00%,46,102.17%,*,*,100.00%,*,100.00%
숙박업,경기도,고양시 덕양구,여자,57,58,98.28%,56,101.79%,57,58,98.28%,56,101.79%,,,,,
숙박업,경기도,고양시 일산동구,남자,24,24,100.00%,25,96.00%,21,21,100.00%,22,95.45%,3,3,100.00%,3,100.00%
숙박업,경기도,고양시 일산동구,여자,8,8,100.00%,8,100.00%,7,7,100.00%,7,100.00%,*,*,100.00%,*,100.00%
숙박업,경기도,고양시 일산서구,남자,31,30,103.33%,31,100.00%,29,28,103.57%,29,100.00%,*,*,100.00%,*,100.00%
숙박업,경기도,고양시 일산서구,여자,25,26,96.15%,30,83.33%,24,25,96.00%,29,82.76%,*,*,100.00%,*,100.00%
숙박업,경기도,과천시,남자,*,*,100.00%,*,50.00%,*,*,100.00%,*,50.00%,,,,,
숙박업,경기도,구리시,남자,45,45,100.00%,48,93.75%,45,45,100.00%,47,95.74%,0,0,/0,*,0.00%
숙박업,경기도,구리시,여자,42,42,100.00%,44,95.45%,42,42,100.00%,44,95.45%,,,,,
숙박업,경기도,남양주시,남자,93,93,100.00%,86,108.14%,84,84,100.00%,79,106.33%,9,9,100.00%,7,128.57%
숙박업,경기도,남양주시,여자,90,91,98.90%,89,101.12%,87,88,98.86%,89,97.75%,3,3,100.00%,0,/0
숙박업,경기도,오산시,남자,42,42,100.00%,45,93.33%,41,41,100.00%,43,95.35%,*,*,100.00%,*,50.00%
숙박업,경기도,오산시,여자,71,72,98.61%,73,97.26%,71,72,98.61%,73,97.26%,,,,,
숙박업,경기도,시흥시,남자,85,85,100.00%,86,98.84%,82,82,100.00%,82,100.00%,3,3,100.00%,4,75.00%
숙박업,경기도,시흥시,여자,57,57,100.00%,54,105.56%,55,55,100.00%,52,105.77%,*,*,100.00%,*,100.00%
숙박업,경기도,군포시,남자,38,37,102.70%,41,92.68%,37,36,102.78%,40,92.50%,*,*,100.00%,*,100.00%
숙박업,경기도,군포시,여자,42,42,100.00%,38,110.53%,41,41,100.00%,37,110.81%,*,*,100.00%,*,100.00%
숙박업,경기도,군포시,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
숙박업,경기도,의왕시,남자,6,6,100.00%,4,150.00%,5,5,100.00%,3,166.67%,*,*,100.00%,*,100.00%
숙박업,경기도,의왕시,여자,12,12,100.00%,12,100.00%,12,12,100.00%,12,100.00%,,,,,
숙박업,경기도,하남시,남자,14,13,107.69%,13,107.69%,14,13,107.69%,12,116.67%,0,0,/0,*,0.00%
숙박업,경기도,하남시,여자,17,17,100.00%,15,113.33%,17,17,100.00%,15,113.33%,,,,,
숙박업,경기도,용인시 처인구,남자,120,119,100.84%,118,101.69%,105,104,100.96%,103,101.94%,15,15,100.00%,15,100.00%
숙박업,경기도,용인시 처인구,여자,111,110,100.91%,107,103.74%,105,104,100.96%,102,102.94%,6,6,100.00%,5,120.00%
숙박업,경기도,용인시 기흥구,남자,47,47,100.00%,44,106.82%,38,38,100.00%,38,100.00%,9,9,100.00%,6,150.00%
숙박업,경기도,용인시 기흥구,여자,22,21,104.76%,18,122.22%,21,20,105.00%,17,123.53%,*,*,100.00%,*,100.00%
숙박업,경기도,용인시 수지구,남자,25,25,100.00%,26,96.15%,21,21,100.00%,23,91.30%,4,4,100.00%,3,133.33%
숙박업,경기도,용인시 수지구,여자,22,22,100.00%,21,104.76%,22,22,100.00%,21,104.76%,,,,,
숙박업,경기도,파주시,남자,112,111,100.90%,110,101.82%,104,103,100.97%,104,100.00%,8,8,100.00%,6,133.33%
숙박업,경기도,파주시,여자,121,119,101.68%,112,108.04%,119,117,101.71%,109,109.17%,*,*,100.00%,3,66.67%
숙박업,경기도,이천시,남자,66,66,100.00%,59,111.86%,59,59,100.00%,53,111.32%,7,7,100.00%,6,116.67%
숙박업,경기도,이천시,여자,69,68,101.47%,66,104.55%,67,66,101.52%,65,103.08%,*,*,100.00%,*,200.00%
숙박업,경기도,안성시,남자,67,68,98.53%,62,108.06%,65,66,98.48%,60,108.33%,*,*,100.00%,*,100.00%
숙박업,경기도,안성시,여자,65,64,101.56%,66,98.48%,64,63,101.59%,65,98.46%,*,*,100.00%,*,100.00%
숙박업,경기도,김포시,남자,39,37,105.41%,31,125.81%,33,32,103.13%,29,113.79%,6,5,120.00%,*,300.00%
숙박업,경기도,김포시,여자,41,41,100.00%,40,102.50%,41,41,100.00%,39,105.13%,0,0,/0,*,0.00%
숙박업,경기도,화성시,남자,154,153,100.65%,143,107.69%,142,141,100.71%,132,107.58%,12,12,100.00%,11,109.09%
숙박업,경기도,화성시,여자,126,125,100.80%,108,116.67%,123,122,100.82%,103,119.42%,3,3,100.00%,5,60.00%
숙박업,경기도,광주시,남자,64,63,101.59%,50,128.00%,61,59,103.39%,48,127.08%,3,4,75.00%,*,150.00%
숙박업,경기도,광주시,여자,53,53,100.00%,49,108.16%,53,53,100.00%,48,110.42%,0,0,/0,*,0.00%
숙박업,경기도,양주시,남자,80,79,101.27%,74,108.11%,76,75,101.33%,70,108.57%,4,4,100.00%,4,100.00%
숙박업,경기도,양주시,여자,71,73,97.26%,71,100.00%,69,71,97.18%,70,98.57%,*,*,100.00%,*,200.00%
숙박업,경기도,포천시,남자,202,200,101.00%,186,108.60%,189,187,101.07%,175,108.00%,13,13,100.00%,11,118.18%
숙박업,경기도,포천시,여자,193,193,100.00%,186,103.76%,188,188,100.00%,181,103.87%,5,5,100.00%,5,100.00%
숙박업,경기도,포천시,미상,0,0,/0,*,0.00%,0,0,/0,*,0.00%,,,,,
숙박업,경기도,여주시,남자,69,69,100.00%,66,104.55%,63,63,100.00%,61,103.28%,6,6,100.00%,5,120.00%
숙박업,경기도,여주시,여자,53,53,100.00%,55,96.36%,51,51,100.00%,53,96.23%,*,*,100.00%,*,100.00%
숙박업,경기도,연천군,남자,45,45,100.00%,48,93.75%,41,41,100.00%,44,93.18%,4,4,100.00%,4,100.00%
숙박업,경기도,연천군,여자,37,37,100.00%,38,97.37%,36,36,100.00%,37,97.30%,*,*,100.00%,*,100.00%
숙박업,경기도,가평군,남자,645,648,99.54%,611,105.56%,618,622,99.36%,588,105.10%,27,26,103.85%,23,117.39%
숙박업,경기도,가평군,여자,585,589,99.32%,551,106.17%,577,581,99.31%,546,105.68%,8,8,100.00%,5,160.00%
숙박업,경기도,양평군,남자,252,249,101.20%,236,106.78%,247,244,101.23%,230,107.39%,5,5,100.00%,6,83.33%
숙박업,경기도,양평군,여자,260,259,100.39%,259,100.39%,256,255,100.39%,255,100.39%,4,4,100.00%,4,100.00%
숙박업,강원도,춘천시,남자,262,261,100.38%,249,105.22%,254,253,100.40%,239,106.28%,8,8,100.00%,10,80.00%
숙박업,강원도,춘천시,여자,267,268,99.63%,262,101.91%,264,265,99.62%,260,101.54%,3,3,100.00%,*,150.00%
숙박업,강원도,춘천시,미상,*,*,100.00%,*,100.00%,,,,,,*,*,100.00%,*,100.00%
숙박업,강원도,원주시,남자,167,166,100.60%,158,105.70%,159,158,100.63%,151,105.30%,8,8,100.00%,7,114.29%
숙박업,강원도,원주시,여자,178,178,100.00%,176,101.14%,175,175,100.00%,173,101.16%,3,3,100.00%,3,100.00%
숙박업,강원도,원주시,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
숙박업,강원도,강릉시,남자,374,370,101.08%,359,104.18%,356,352,101.14%,342,104.09%,18,18,100.00%,17,105.88%
숙박업,강원도,강릉시,여자,441,436,101.15%,431,102.32%,436,431,101.16%,426,102.35%,5,5,100.00%,5,100.00%
숙박업,강원도,강릉시,미상,*,*,50.00%,*,50.00%,*,*,50.00%,*,50.00%,,,,,
숙박업,강원도,동해시,남자,81,82,98.78%,79,102.53%,74,75,98.67%,72,102.78%,7,7,100.00%,7,100.00%
숙박업,강원도,동해시,여자,79,78,101.28%,77,102.60%,78,77,101.30%,76,102.63%,*,*,100.00%,*,100.00%
숙박업,강원도,태백시,남자,35,36,97.22%,38,92.11%,32,32,100.00%,31,103.23%,3,4,75.00%,7,42.86%
숙박업,강원도,태백시,여자,40,40,100.00%,38,105.26%,38,38,100.00%,37,102.70%,*,*,100.00%,*,200.00%
숙박업,강원도,속초시,남자,140,138,101.45%,138,101.45%,116,114,101.75%,111,104.50%,24,24,100.00%,27,88.89%
숙박업,강원도,속초시,여자,136,137,99.27%,135,100.74%,128,129,99.22%,129,99.22%,8,8,100.00%,6,133.33%
숙박업,강원도,삼척시,남자,102,103,99.03%,91,112.09%,97,98,98.98%,86,112.79%,5,5,100.00%,5,100.00%
숙박업,강원도,삼척시,여자,109,106,102.83%,102,106.86%,109,106,102.83%,102,106.86%,,,,,
숙박업,강원도,삼척시,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
숙박업,강원도,홍천군,남자,231,227,101.76%,211,109.48%,223,219,101.83%,203,109.85%,8,8,100.00%,8,100.00%
숙박업,강원도,홍천군,여자,208,209,99.52%,198,105.05%,207,208,99.52%,197,105.08%,*,*,100.00%,*,100.00%
숙박업,강원도,횡성군,남자,86,85,101.18%,84,102.38%,81,80,101.25%,80,101.25%,5,5,100.00%,4,125.00%
숙박업,강원도,횡성군,여자,88,88,100.00%,88,100.00%,86,86,100.00%,86,100.00%,*,*,100.00%,*,100.00%
숙박업,강원도,영월군,남자,140,140,100.00%,130,107.69%,134,134,100.00%,124,108.06%,6,6,100.00%,6,100.00%
숙박업,강원도,영월군,여자,119,118,100.85%,116,102.59%,118,117,100.85%,115,102.61%,*,*,100.00%,*,100.00%
숙박업,강원도,평창군,남자,311,310,100.32%,317,98.11%,290,289,100.35%,297,97.64%,21,21,100.00%,20,105.00%
숙박업,강원도,평창군,여자,290,292,99.32%,290,100.00%,282,284,99.30%,283,99.65%,8,8,100.00%,7,114.29%
숙박업,강원도,정선군,남자,141,141,100.00%,143,98.60%,129,130,99.23%,133,96.99%,12,11,109.09%,10,120.00%
숙박업,강원도,정선군,여자,162,161,100.62%,162,100.00%,159,158,100.63%,159,100.00%,3,3,100.00%,3,100.00%
숙박업,강원도,철원군,남자,63,63,100.00%,59,106.78%,61,61,100.00%,57,107.02%,*,*,100.00%,*,100.00%
숙박업,강원도,철원군,여자,84,85,98.82%,87,96.55%,84,85,98.82%,87,96.55%,,,,,
숙박업,강원도,화천군,남자,67,67,100.00%,62,108.06%,63,63,100.00%,58,108.62%,4,4,100.00%,4,100.00%
숙박업,강원도,화천군,여자,72,70,102.86%,63,114.29%,71,69,102.90%,62,114.52%,*,*,100.00%,*,100.00%
숙박업,강원도,양구군,남자,52,51,101.96%,48,108.33%,48,47,102.13%,47,102.13%,4,4,100.00%,*,400.00%
숙박업,강원도,양구군,여자,72,73,98.63%,69,104.35%,72,73,98.63%,68,105.88%,0,0,/0,*,0.00%
숙박업,강원도,양구군,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
숙박업,강원도,인제군,남자,116,118,98.31%,108,107.41%,111,113,98.23%,103,107.77%,5,5,100.00%,5,100.00%
숙박업,강원도,인제군,여자,108,108,100.00%,105,102.86%,107,107,100.00%,104,102.88%,*,*,100.00%,*,100.00%
숙박업,강원도,인제군,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
숙박업,강원도,고성군,남자,134,130,103.08%,122,109.84%,121,117,103.42%,107,113.08%,13,13,100.00%,15,86.67%
숙박업,강원도,고성군,여자,138,137,100.73%,118,116.95%,134,133,100.75%,116,115.52%,4,4,100.00%,*,200.00%
숙박업,강원도,양양군,남자,238,239,99.58%,226,105.31%,221,221,100.00%,210,105.24%,17,18,94.44%,16,106.25%
숙박업,강원도,양양군,여자,200,200,100.00%,183,109.29%,197,198,99.49%,181,108.84%,3,*,150.00%,*,150.00%
숙박업,강원도,양양군,미상,*,*,100.00%,0,/0,*,*,100.00%,0,/0,,,,,
숙박업,대전광역시,동구,남자,73,72,101.39%,69,105.80%,67,66,101.52%,65,103.08%,6,6,100.00%,4,150.00%
숙박업,대전광역시,동구,여자,117,118,99.15%,127,92.13%,117,118,99.15%,127,92.13%,,,,,
숙박업,대전광역시,중구,남자,121,116,104.31%,115,105.22%,117,112,104.46%,110,106.36%,4,4,100.00%,5,80.00%
숙박업,대전광역시,중구,여자,180,181,99.45%,197,91.37%,178,181,98.34%,197,90.36%,*,0,/0,0,/0
숙박업,대전광역시,서구,남자,51,49,104.08%,50,102.00%,45,43,104.65%,44,102.27%,6,6,100.00%,6,100.00%
숙박업,대전광역시,서구,여자,44,43,102.33%,44,100.00%,42,41,102.44%,42,100.00%,*,*,100.00%,*,100.00%
숙박업,대전광역시,유성구,남자,61,61,100.00%,63,96.83%,50,50,100.00%,50,100.00%,11,11,100.00%,13,84.62%
숙박업,대전광역시,유성구,여자,61,61,100.00%,65,93.85%,57,57,100.00%,61,93.44%,4,4,100.00%,4,100.00%
숙박업,대전광역시,대덕구,남자,37,36,102.78%,35,105.71%,37,36,102.78%,34,108.82%,0,0,/0,*,0.00%
숙박업,대전광역시,대덕구,여자,53,54,98.15%,55,96.36%,52,53,98.11%,55,94.55%,*,*,100.00%,0,/0
숙박업,충청북도,청주시 상당구,남자,79,79,100.00%,79,100.00%,75,74,101.35%,73,102.74%,4,5,80.00%,6,66.67%
숙박업,충청북도,청주시 상당구,여자,67,66,101.52%,59,113.56%,66,65,101.54%,58,113.79%,*,*,100.00%,*,100.00%
숙박업,충청북도,청주시 상당구,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
숙박업,충청북도,청주시 서원구,남자,23,22,104.55%,22,104.55%,22,22,100.00%,22,100.00%,*,0,/0,0,/0
숙박업,충청북도,청주시 서원구,여자,40,41,97.56%,42,95.24%,40,41,97.56%,42,95.24%,,,,,
숙박업,충청북도,청주시 흥덕구,남자,68,68,100.00%,67,101.49%,64,64,100.00%,62,103.23%,4,4,100.00%,5,80.00%
